序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
1,688808,联讯仪器,2270.00,6.57,2270.00,140.000,2315.00,2018.01,9.97,1.27,192.40万,42.47亿,490.01,79.4545,2330.53亿,438.02亿
2,688498,源杰科技,1659.23,1.23,1659.23,20.230,1738.80,1590.02,3.12,0.79,383.27万,64.39亿,287.80,83.8113,2065.75亿,2039.06亿
3,688256,寒武纪,1353.00,-1.38,1353.00,-19.000,1412.00,1340.00,1.62,0.72,1019.22万,140.22亿,209.75,69.4576,8500.80亿,8500.80亿
4,600519,贵州茅台,1194.45,-0.71,1194.45,-8.550,1210.14,1185.00,0.27,0.69,342.68万,40.99亿,13.70,6.3307,1.49万亿,1.49万亿
5,300308,中际旭创,1116.00,-2.36,1116.00,-27.000,1188.01,1115.00,2.96,1.05,3286.18万,377.02亿,54.26,35.9266,1.24万亿,1.24万亿
6,001309,德明利,881.91,8.74,881.91,70.910,892.10,795.00,12.00,1.17,1980.03万,169.88亿,14.95,30.2048,2000.57亿,1455.75亿
7,002371,北方华创,816.00,-2.98,816.00,-25.060,846.38,775.00,2.29,1.24,1658.54万,134.59亿,90.56,15.2850,5921.62亿,5916.90亿
8,688766,普冉股份,815.88,3.99,815.88,31.310,866.01,735.50,6.77,1.17,1006.69万,82.55亿,120.79,45.0239,1213.24亿,1213.24亿
9,688802,沐曦股份-U,738.38,1.97,738.38,14.250,757.88,713.00,9.67,0.72,179.17万,13.18亿,-747.21,22.5542,2954.26亿,136.81亿
10,603986,兆易创新,677.77,-2.45,677.77,-17.040,717.66,642.35,9.33,1.26,6235.22万,426.74亿,81.37,19.1896,4756.25亿,4530.84亿
11,688795,摩尔线程-U,643.81,0.35,643.81,2.220,664.48,633.01,6.74,0.63,203.70万,13.22亿,2576.78,26.2692,3026.09亿,194.59亿
12,301308,江波龙,618.02,3.14,618.02,18.800,646.85,574.10,7.32,0.95,2063.89万,126.66亿,16.92,21.9603,2614.60亿,1741.90亿
13,301666,大普微-UW,593.02,-1.62,593.02,-9.780,617.73,584.00,12.04,0.75,319.24万,19.24亿,174.84,96.4935,2586.85亿,157.25亿
14,688627,精智达,578.30,-0.65,578.30,-3.770,599.00,552.27,7.82,0.90,566.56万,32.71亿,935.26,31.5465,544.34亿,419.08亿
15,688502,茂莱光学,572.28,-6.34,572.28,-38.740,618.00,572.22,3.73,0.70,197.18万,11.76亿,-680.07,25.6411,302.17亿,302.17亿
16,688797,臻宝科技,540.10,-19.15,540.10,-127.910,655.00,538.00,37.18,0.98,1085.27万,62.90亿,410.93,29.2440,838.72亿,157.67亿
17,920045,蘅东光,539.00,0.70,539.00,3.740,572.99,520.00,4.93,0.86,99.24万,5.46亿,109.08,32.7663,366.91亿,108.49亿
18,300502,新易盛,526.00,3.34,526.00,17.000,551.77,505.88,4.26,0.92,5345.07万,284.33亿,65.95,37.7771,7333.79亿,6597.32亿
19,301377,鼎泰高科,518.04,-2.44,518.04,-12.960,539.00,510.77,5.09,0.74,502.77万,26.37亿,204.48,78.6301,2131.28亿,512.14亿
20,300757,罗博特科,512.73,-3.13,512.73,-16.540,535.89,509.54,3.33,0.79,541.89万,28.33亿,-553.47,52.8636,859.38亿,833.53亿
21,688809,强一股份,511.00,-3.61,511.00,-19.130,536.84,503.68,9.34,0.74,242.13万,12.55亿,147.76,16.3446,662.05亿,132.41亿
